sk_fato,data_referencia,sk_indicador,valor,preenchido,vigencia_inicio,vigencia_fim,registro_atual
185,2024-01-23,2,4.9709,False,2026-05-28 18:52:28.093221,,True
186,2024-01-23,2,4.9778,False,2026-05-28 18:52:28.093221,,True
187,2024-01-23,2,4.9729,False,2026-05-28 18:52:28.093221,,True
188,2024-01-23,2,4.9708,False,2026-05-28 18:52:28.093221,,True
189,2024-01-23,2,4.962,False,2026-05-28 18:52:28.093221,,True
190,2024-01-23,3,5.3835,False,2026-05-28 18:52:28.093221,,True
191,2024-01-23,3,5.391,False,2026-05-28 18:52:28.093221,,True
192,2024-01-23,3,5.3961,False,2026-05-28 18:52:28.093221,,True
193,2024-01-23,3,5.4038,False,2026-05-28 18:52:28.093221,,True
194,2024-01-23,3,5.3902,False,2026-05-28 18:52:28.093221,,True
195,2024-01-24,1,0.043739,False,2026-05-28 18:52:28.093221,,True
196,2024-01-24,2,4.9109,False,2026-05-28 18:52:28.093221,,True
197,2024-01-24,2,4.9117,False,2026-05-28 18:52:28.093221,,True
198,2024-01-24,2,4.9287,False,2026-05-28 18:52:28.093221,,True
199,2024-01-24,2,4.9232,False,2026-05-28 18:52:28.093221,,True
200,2024-01-24,2,4.9186,False,2026-05-28 18:52:28.093221,,True
201,2024-01-24,3,5.3494,False,2026-05-28 18:52:28.093221,,True
202,2024-01-24,3,5.3655,False,2026-05-28 18:52:28.093221,,True
203,2024-01-24,3,5.3733,False,2026-05-28 18:52:28.093221,,True
204,2024-01-24,3,5.3658,False,2026-05-28 18:52:28.093221,,True
205,2024-01-24,3,5.3608,False,2026-05-28 18:52:28.093221,,True
206,2024-01-25,1,0.043739,False,2026-05-28 18:52:28.093221,,True
207,2024-01-25,2,4.9226,False,2026-05-28 18:52:28.093221,,True
208,2024-01-25,2,4.9207,False,2026-05-28 18:52:28.093221,,True
209,2024-01-25,2,4.9163,False,2026-05-28 18:52:28.093221,,True
210,2024-01-25,2,4.9248,False,2026-05-28 18:52:28.093221,,True
211,2024-01-25,2,4.9284,False,2026-05-28 18:52:28.093221,,True
212,2024-01-25,3,5.3317,False,2026-05-28 18:52:28.093221,,True
213,2024-01-25,3,5.3296,False,2026-05-28 18:52:28.093221,,True
214,2024-01-25,3,5.3381,False,2026-05-28 18:52:28.093221,,True
215,2024-01-25,3,5.3557,False,2026-05-28 18:52:28.093221,,True
216,2024-01-25,3,5.366,False,2026-05-28 18:52:28.093221,,True
217,2024-01-26,1,0.043739,False,2026-05-28 18:52:28.093221,,True
218,2024-01-26,2,4.912,False,2026-05-28 18:52:28.093221,,True
219,2024-01-26,2,4.906,False,2026-05-28 18:52:28.093221,,True
220,2024-01-26,2,4.915,False,2026-05-28 18:52:28.093221,,True
221,2024-01-26,2,4.9145,False,2026-05-28 18:52:28.093221,,True
222,2024-01-26,2,4.9119,False,2026-05-28 18:52:28.093221,,True
223,2024-01-26,3,5.3379,False,2026-05-28 18:52:28.093221,,True
224,2024-01-26,3,5.3328,False,2026-05-28 18:52:28.093221,,True
225,2024-01-26,3,5.3426,False,2026-05-28 18:52:28.093221,,True
226,2024-01-26,3,5.3391,False,2026-05-28 18:52:28.093221,,True
227,2024-01-26,3,5.3363,False,2026-05-28 18:52:28.093221,,True
228,2024-01-27,1,0.043739,True,2026-05-28 18:52:28.093221,,True
229,2024-01-27,2,4.9119,True,2026-05-28 18:52:28.093221,,True
230,2024-01-27,3,5.3363,True,2026-05-28 18:52:28.093221,,True
231,2024-01-28,1,0.043739,True,2026-05-28 18:52:28.093221,,True
232,2024-01-28,2,4.9119,True,2026-05-28 18:52:28.093221,,True
233,2024-01-28,3,5.3363,True,2026-05-28 18:52:28.093221,,True
234,2024-01-29,1,0.043739,False,2026-05-28 18:52:28.093221,,True
235,2024-01-29,2,4.9219,False,2026-05-28 18:52:28.093221,,True
236,2024-01-29,2,4.9425,False,2026-05-28 18:52:28.093221,,True
237,2024-01-29,2,4.9245,False,2026-05-28 18:52:28.093221,,True
238,2024-01-29,2,4.9117,False,2026-05-28 18:52:28.093221,,True
239,2024-01-29,2,4.9087,False,2026-05-28 18:52:28.093221,,True
240,2024-01-29,3,5.3137,False,2026-05-28 18:52:28.093221,,True
241,2024-01-29,3,5.3359,False,2026-05-28 18:52:28.093221,,True
242,2024-01-29,3,5.3209,False,2026-05-28 18:52:28.093221,,True
243,2024-01-29,3,5.3135,False,2026-05-28 18:52:28.093221,,True
244,2024-01-29,3,5.3117,False,2026-05-28 18:52:28.093221,,True
245,2024-01-30,1,0.043739,False,2026-05-28 18:52:28.093221,,True
246,2024-01-30,2,4.9495,False,2026-05-28 18:52:28.093221,,True
247,2024-01-30,2,4.9641,False,2026-05-28 18:52:28.093221,,True
248,2024-01-30,2,4.9699,False,2026-05-28 18:52:28.093221,,True
249,2024-01-30,2,4.9692,False,2026-05-28 18:52:28.093221,,True
250,2024-01-30,2,4.9632,False,2026-05-28 18:52:28.093221,,True
251,2024-01-30,3,5.3682,False,2026-05-28 18:52:28.093221,,True
252,2024-01-30,3,5.3776,False,2026-05-28 18:52:28.093221,,True
253,2024-01-30,3,5.3918,False,2026-05-28 18:52:28.093221,,True
254,2024-01-30,3,5.3841,False,2026-05-28 18:52:28.093221,,True
255,2024-01-30,3,5.3776,False,2026-05-28 18:52:28.093221,,True
256,2024-01-31,1,0.043739,False,2026-05-28 18:52:28.093221,,True
257,2024-01-31,2,4.9529,False,2026-05-28 18:52:28.093221,,True
258,2024-01-31,2,4.9426,False,2026-05-28 18:52:28.093221,,True
259,2024-01-31,2,4.9506,False,2026-05-28 18:52:28.093221,,True
260,2024-01-31,2,4.956,False,2026-05-28 18:52:28.093221,,True
261,2024-01-31,2,4.9622,False,2026-05-28 18:52:28.093221,,True
262,2024-01-31,3,5.3793,False,2026-05-28 18:52:28.093221,,True
263,2024-01-31,3,5.3682,False,2026-05-28 18:52:28.093221,,True
264,2024-01-31,3,5.3853,False,2026-05-28 18:52:28.093221,,True
265,2024-01-31,3,5.3797,False,2026-05-28 18:52:28.093221,,True
266,2024-01-31,3,5.377,False,2026-05-28 18:52:28.093221,,True
267,2024-02-01,1,0.041957,False,2026-05-28 18:52:28.093221,,True
268,2024-02-01,2,4.9529,False,2026-05-28 18:52:28.093221,,True
269,2024-02-01,2,4.9356,False,2026-05-28 18:52:28.093221,,True
270,2024-02-01,2,4.9311,False,2026-05-28 18:52:28.093221,,True
271,2024-02-01,2,4.9181,False,2026-05-28 18:52:28.093221,,True
272,2024-02-01,2,4.9344,False,2026-05-28 18:52:28.093221,,True
273,2024-02-01,3,5.3561,False,2026-05-28 18:52:28.093221,,True
274,2024-02-01,3,5.3369,False,2026-05-28 18:52:28.093221,,True
275,2024-02-01,3,5.3295,False,2026-05-28 18:52:28.093221,,True
